Strategy,Best Fitness,Mutation Rate,Sigma,Max Generations,Population Size,Offspring Size,Tournament Size
Basic ES,26.92389257379799,0.5,0.1,25,100,200,2
(μ + λ) ES,26.91250104291402,0.5,0.1,25,100,200,2
Basic ES,26.90398016834049,0.5,0.1,25,100,200,2
Advanced ES,26.7204192258315,0.5,0.1,25,100,200,2
Advanced ES,26.717014431435857,0.5,0.1,25,100,200,2
Advanced ES,26.641426458408464,0.5,0.1,25,100,200,2
(μ + λ) ES,26.50828339665907,0.5,0.1,25,100,200,2
(μ + λ) ES,26.409107836735636,0.5,0.1,25,100,200,2
Advanced ES,26.33532846569147,0.5,0.1,25,100,200,2
Basic ES,26.202406129596657,0.5,0.1,25,100,200,2
Basic ES,25.55153830727793,0.5,0.1,25,100,200,2
Advanced ES,25.44534502899083,0.5,0.1,25,100,200,2
Advanced ES,25.260548379543636,0.5,0.1,25,100,200,2
"(μ, λ) ES",18.780816985479884,0.5,0.1,25,100,200,2
"(μ, λ) ES",17.3733046059227,0.1,0.1,50,100,200,3
"(μ, λ) ES",16.909738271362713,0.1,0.1,50,100,200,3
"(μ, λ) ES",16.780916525789532,0.1,0.1,50,100,200,3
"(μ, λ) ES",16.4951311080101,0.1,0.1,50,100,200,3
"(μ, λ) ES",16.010830190370417,0.1,0.1,50,100,200,3
"(μ, λ) ES",15.857497339706596,0.1,0.1,50,100,200,3
"(μ, λ) ES",15.754068632275223,0.5,0.1,25,100,200,2
"(μ, λ) ES",14.560276972546967,0.1,0.1,50,100,200,3
"(μ, λ) ES",14.428294215625234,0.1,0.1,50,100,200,3
"(μ, λ) ES",14.31459985114849,0.1,0.1,50,100,200,3
"(μ, λ) ES",14.031847087694723,0.1,0.1,50,100,200,3
"(μ, λ) ES",13.976280174708672,0.5,0.1,25,100,200,2
"(μ, λ) ES",13.883395820239116,0.5,0.1,25,100,200,2
Advanced EP,12.871078200410217,0.01,0.01,25,50,100,2
"(μ, λ) ES",12.727777389508784,0.5,0.1,25,100,200,2
"(μ, λ) ES",12.345669571334888,0.5,0.1,25,100,200,2
"(μ, λ) ES",12.190714642710224,0.5,0.1,25,100,200,2
"(μ, λ) ES",11.778609034423102,0.5,0.1,25,100,200,2
Basic EP,11.301352447931647,0.01,0.01,25,50,100,2
"(μ, λ) ES",11.283336873506041,0.5,0.1,25,100,200,2
Basic EP,10.865369661482712,0.01,0.01,25,50,100,2
Basic EP,10.420381189362713,0.01,0.01,25,50,100,2
"(μ, λ) ES",10.352676749241901,0.5,0.1,25,100,200,2
Basic EP,9.088878098971275,0.01,0.01,25,50,100,2
Basic EP,8.636133135161154,0.01,0.01,25,50,100,2
Advanced EP,8.62096551354217,0.01,0.01,25,50,100,2
Advanced EP,8.359644920480905,0.01,0.01,25,50,100,2
Advanced EP,8.309223242050328,0.01,0.01,25,50,100,2
Basic EP,8.209962495558742,0.01,0.01,25,50,100,2
Advanced EP,8.193571110213911,0.01,0.01,25,50,100,2
Advanced EP,8.111357124215232,0.01,0.01,25,50,100,2
Advanced EP,8.103900899944199,0.01,0.01,25,50,100,2
Advanced EP,7.850752429753922,0.01,0.01,25,50,100,2
Advanced EP,7.77514542137922,0.01,0.01,25,50,100,2
Basic EP,7.546601565090829,0.01,0.01,25,50,100,2
Advanced EP,7.335189123308699,0.01,0.01,25,50,100,2
Basic EP,7.026640457713177,0.01,0.01,25,50,100,2
Basic EP,6.437746152571471,0.01,0.01,25,50,100,2
Basic EP,5.896022171401942,0.01,0.01,25,50,100,2
(μ + λ) ES,5.479803515777031,0.01,0.01,25,50,100,2
(μ + λ) ES,5.383142887867004,0.01,0.01,25,50,100,2
Basic ES,5.331011024541281,0.01,0.01,25,50,100,2
Basic ES,5.306500378404025,0.01,0.01,25,50,100,2
(μ + λ) ES,5.274656223703929,0.01,0.01,25,50,100,2
Advanced ES,5.247313589174821,0.01,0.01,25,50,100,2
Advanced ES,5.232980303747427,0.01,0.01,25,50,100,2
Basic ES,5.229350082783448,0.01,0.01,25,50,100,2
(μ + λ) ES,5.127625470825388,0.01,0.01,25,50,100,2
Advanced ES,5.118761407684489,0.01,0.01,25,50,100,2
(μ + λ) ES,5.110854912284757,0.01,0.01,25,50,100,2
Advanced ES,5.0871515363982285,0.01,0.01,25,50,100,2
Advanced ES,5.068370823926224,0.01,0.01,25,50,100,2
Advanced ES,5.049887480336597,0.01,0.01,25,50,100,2
Advanced ES,5.019452333261139,0.01,0.01,25,50,100,2
Basic ES,5.014835116522169,0.01,0.01,25,50,100,2
(μ + λ) ES,5.002620111556951,0.01,0.01,25,50,100,2
Advanced ES,5.001184693038207,0.01,0.01,25,50,100,2
(μ + λ) ES,4.99974895873518,0.01,0.01,25,50,100,2
Advanced ES,4.961725600243779,0.01,0.01,25,50,100,2
Advanced ES,4.947334184722532,0.01,0.01,25,50,100,2
Basic ES,4.9469759782427705,0.01,0.01,25,50,100,2
(μ + λ) ES,4.9440564859715845,0.01,0.01,25,50,100,2
Basic ES,4.943729133344787,0.01,0.01,25,50,100,2
Basic ES,4.921117574835611,0.01,0.01,25,50,100,2
Basic ES,4.89522024693227,0.01,0.01,25,50,100,2
(μ + λ) ES,4.864623955164283,0.01,0.01,25,50,100,2
Basic ES,4.864604699162068,0.01,0.01,25,50,100,2
Basic ES,4.808184139874659,0.01,0.01,25,50,100,2
(μ + λ) ES,4.732719102808687,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.996598225594264,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.912617109165724,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.478921621234546,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.452324277666564,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.418179299822022,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.3840541850471264,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.3085593673537255,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.291427158153229,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.290028970855968,0.01,0.01,25,50,100,2
"(μ, λ) ES",3.180363158058675,0.01,0.01,25,50,100,2
